trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'e': 0.9598291299477989, 'a': 0.001}",25,0,-31.15161248483341,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
43,False,"{'e': 0.9588697805724845, 'a': 0.001}",30,0,-171.2106680019801,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
44,False,"{'e': 0.9579113900670306, 'a': 0.001}",30,0,-218.92628535969976,"{0: 11, 1: 6, 2: 10, 3: 1, 4: 2}",0
45,False,"{'e': 0.9569539574730467, 'a': 0.001}",20,0,-128.77072461720704,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",1
46,False,"{'e': 0.9559974818331, 'a': 0.001}",20,0,-174.02378105047475,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
47,False,"{'e': 0.9550419621907147, 'a': 0.001}",30,0,-183.1839153220375,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
48,False,"{'e': 0.9540873975903711, 'a': 0.001}",30,0,-107.46745274794014,"{0: 16, 1: 9, 2: 4, 3: 0, 4: 1}",0
49,False,"{'e': 0.9531337870775047, 'a': 0.001}",20,0,-42.67521845553085,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
50,False,"{'e': 0.9521811296985049, 'a': 0.001}",20,0,-140.69329202715156,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
51,False,"{'e': 0.951229424500714, 'a': 0.001}",20,0,-185.0103118863411,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
52,False,"{'e': 0.950278670532427, 'a': 0.001}",30,16,-31.410205197274454,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
53,False,"{'e': 0.9493288668428895, 'a': 0.001}",30,0,-186.03558560676984,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
54,False,"{'e': 0.9483800124822982, 'a': 0.001}",20,6,-31.484440988295017,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 0}",1
55,False,"{'e': 0.9474321065017983, 'a': 0.001}",20,0,-160.84554486724437,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
56,False,"{'e': 0.9464851479534838, 'a': 0.001}",25,1,-100.23626428318151,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 1}",1
57,False,"{'e': 0.9455391358903963, 'a': 0.001}",20,0,-48.85057537404566,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
58,False,"{'e': 0.9445940693665233, 'a': 0.001}",20,0,-129.19281817523714,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
59,False,"{'e': 0.9436499474367985, 'a': 0.001}",25,0,-67.44722574224284,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
60,False,"{'e': 0.9427067691570997, 'a': 0.001}",20,0,-144.440154274101,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
61,False,"{'e': 0.9417645335842487, 'a': 0.001}",20,0,-79.53159239492003,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
62,False,"{'e': 0.9408232397760097, 'a': 0.001}",20,13,4.269121817288708,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'e': 0.9398828867910889, 'a': 0.001}",25,0,-180.12044037490475,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
64,False,"{'e': 0.9389434736891332, 'a': 0.001}",30,21,6.058195727323664,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'e': 0.9380049995307295, 'a': 0.001}",25,0,-157.9778709037069,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
66,False,"{'e': 0.9370674633774034, 'a': 0.001}",35,0,-256.0857064567689,"{0: 16, 1: 7, 2: 8, 3: 0, 4: 4}",0
67,False,"{'e': 0.9361308642916188, 'a': 0.001}",25,0,-104.68195131972661,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
68,False,"{'e': 0.9351952013367766, 'a': 0.001}",20,0,-220.09124271009298,"{0: 7, 1: 0, 2: 9, 3: 1, 4: 3}",0
69,False,"{'e': 0.9342604735772135, 'a': 0.001}",25,0,-128.86452479511615,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
70,False,"{'e': 0.933326680078202, 'a': 0.001}",20,0,-134.81803603570782,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
71,False,"{'e': 0.9323938199059483, 'a': 0.001}",20,0,-228.3304658614509,"{0: 8, 1: 1, 2: 7, 3: 0, 4: 4}",0
72,False,"{'e': 0.9314618921275921, 'a': 0.001}",25,0,-183.31931910415594,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
73,False,"{'e': 0.9305308958112057, 'a': 0.001}",25,0,-222.785988838984,"{0: 12, 1: 3, 2: 4, 3: 3, 4: 3}",0
74,False,"{'e': 0.9296008300257927, 'a': 0.001}",35,0,-138.19961811146524,"{0: 24, 1: 1, 2: 8, 3: 0, 4: 2}",1
75,False,"{'e': 0.9286716938412872, 'a': 0.001}",20,0,-95.17182662900456,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
76,False,"{'e': 0.9277434863285529, 'a': 0.001}",20,0,-111.45869245559363,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
77,False,"{'e': 0.9268162065593822, 'a': 0.001}",20,0,-73.95738459571793,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
78,False,"{'e': 0.9258898536064953, 'a': 0.001}",20,0,-56.84743333491434,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
79,False,"{'e': 0.9249644265435393, 'a': 0.001}",20,0,-152.86133280041133,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
80,False,"{'e': 0.9240399244450868, 'a': 0.001}",30,5,-31.689187958181428,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",1
81,False,"{'e': 0.9231163463866358, 'a': 0.001}",25,0,-83.5573840306897,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
82,False,"{'e': 0.922193691444608, 'a': 0.001}",20,0,-84.74294329275415,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
83,False,"{'e': 0.9212719586963487, 'a': 0.001}",20,0,-69.62460010405623,"{0: 13, 1: 5, 2: 0, 3: 1, 4: 1}",0
84,False,"{'e': 0.9203511472201247, 'a': 0.001}",25,0,-204.02377855170562,"{0: 9, 1: 8, 2: 4, 3: 1, 4: 3}",0
85,False,"{'e': 0.9194312560951247, 'a': 0.001}",25,0,-170.42009788592458,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
86,False,"{'e': 0.9185122844014574, 'a': 0.001}",20,0,-48.56685239757408,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
87,False,"{'e': 0.9175942312201509, 'a': 0.001}",25,0,-125.07826022622018,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
88,False,"{'e': 0.9166770956331523, 'a': 0.001}",20,0,-131.68896862576025,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
89,False,"{'e': 0.9157608767233256, 'a': 0.001}",20,0,-130.68452831104509,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
90,False,"{'e': 0.914845573574452, 'a': 0.001}",20,0,-152.3178657890325,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
91,False,"{'e': 0.9139311852712282, 'a': 0.001}",25,0,-62.59005829961845,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
92,False,"{'e': 0.9130177108992658, 'a': 0.001}",25,0,-270.39368100175835,"{0: 10, 1: 0, 2: 10, 3: 1, 4: 4}",0
93,False,"{'e': 0.9121051495450904, 'a': 0.001}",25,0,-145.91605397263714,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
94,False,"{'e': 0.9111935002961405, 'a': 0.001}",20,0,-135.26912654779792,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
95,False,"{'e': 0.910282762240767, 'a': 0.001}",20,0,-104.04611873623809,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
96,False,"{'e': 0.9093729344682314, 'a': 0.001}",25,0,-141.82012771744124,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
97,False,"{'e': 0.9084640160687062, 'a': 0.001}",30,0,-207.41681257765913,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
98,False,"{'e': 0.9075560061332727, 'a': 0.001}",25,0,-99.6338425887528,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
99,False,"{'e': 0.9066489037539209, 'a': 0.001}",25,0,-177.83597681600466,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
100,False,"{'e': 0.9057427080235485, 'a': 0.001}",25,0,-114.78590669130492,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
101,False,"{'e': 0.9048374180359595, 'a': 0.001}",30,0,-136.31628653468172,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
102,False,"{'e': 0.9039330328858641, 'a': 0.001}",20,0,-150.42612062311093,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
103,False,"{'e': 0.9030295516688768, 'a': 0.001}",20,0,-94.05596858453578,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
104,False,"{'e': 0.9021269734815165, 'a': 0.001}",20,0,-37.65909745429961,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
105,False,"{'e': 0.9012252974212047, 'a': 0.001}",25,0,-89.97377961128505,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
106,False,"{'e': 0.9003245225862656, 'a': 0.001}",25,0,-113.34895567191127,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
107,False,"{'e': 0.899424648075924, 'a': 0.001}",30,0,-93.93982289342031,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
108,False,"{'e': 0.8985256729903055, 'a': 0.001}",25,0,-126.08383235616361,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
109,False,"{'e': 0.8976275964304349, 'a': 0.001}",25,0,-146.34622230443733,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
110,False,"{'e': 0.8967304174982355, 'a': 0.001}",25,0,-77.89742752547325,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
111,False,"{'e': 0.8958341352965282, 'a': 0.001}",30,0,-190.90208952858012,"{0: 18, 1: 0, 2: 9, 3: 0, 4: 3}",0
112,False,"{'e': 0.894938748929031, 'a': 0.001}",25,0,-219.98371446566705,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
113,False,"{'e': 0.8940442575003572, 'a': 0.001}",20,0,-177.5000298207606,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
114,False,"{'e': 0.8931506601160155, 'a': 0.001}",25,0,-180.09893185366388,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
115,False,"{'e': 0.8922579558824083, 'a': 0.001}",25,0,-73.03331425686449,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
116,False,"{'e': 0.8913661439068313, 'a': 0.001}",25,0,-79.6725110827965,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
117,False,"{'e': 0.8904752232974726, 'a': 0.001}",30,0,-67.543140948676,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
118,False,"{'e': 0.8895851931634113, 'a': 0.001}",25,0,-141.32193495463852,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
119,False,"{'e': 0.8886960526146174, 'a': 0.001}",25,0,-8.418766563820826,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
120,False,"{'e': 0.8878078007619501, 'a': 0.001}",20,0,-128.57032846012976,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
121,False,"{'e': 0.8869204367171575, 'a': 0.001}",20,0,-3.045306583825733,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
